title,subtitle,searchterms,popularity,recommended,genre,composer,epoch,composer_popularity,composer_recommended
Berceuse élégiaque,For chamber orchestra,,0,0,Orchestral,John Adams,21st Century,0,1
Chamber Symphony,,,0,0,Orchestral,John Adams,21st Century,0,1
China Gates,,,1,1,Keyboard,John Adams,21st Century,0,1
Doctor Atomic,Opera,,0,0,Stage,John Adams,21st Century,0,1
Doctor Atomic Symphony,,,0,1,Orchestral,John Adams,21st Century,0,1
Fellow Traveler,For string quartet,,0,0,Chamber,John Adams,21st Century,0,1
Grand Pianola Music,"For voice, pianos, winds, brass and percussion",,0,0,Orchestral,John Adams,21st Century,0,1
Hallelujah Junction,,,0,0,Keyboard,John Adams,21st Century,0,1
Harmonielehre,,,1,1,Orchestral,John Adams,21st Century,0,1
Harmonium,For chorus and orchestra,,0,0,Vocal,John Adams,21st Century,0,1
I was looking at the ceiling and then I saw the sky,,,0,0,Stage,John Adams,21st Century,0,1
John's Book of Alleged Dances,For string quartet,,0,0,Chamber,John Adams,21st Century,0,1
Light Over Water,For brass and tape,,0,0,Orchestral,John Adams,21st Century,0,1
Lollapalooza,,,0,0,Orchestral,John Adams,21st Century,0,1
Must the Devil Have All the Good Tunes?,For piano and orchestra,,0,0,Orchestral,John Adams,21st Century,0,1
Nixon in China,Opera,,1,1,Stage,John Adams,21st Century,0,1
Phrygian Gates,,,0,0,Keyboard,John Adams,21st Century,0,1
Road Movies,For violin and piano,,0,0,Chamber,John Adams,21st Century,0,1
Shaker Loops,For strings,,0,0,Chamber,John Adams,21st Century,0,1
Short Ride in a Fast Machine,,,1,1,Orchestral,John Adams,21st Century,0,1
String Quartet,,,0,0,Chamber,John Adams,21st Century,0,1
The Chairman Dances,,,0,0,Orchestral,John Adams,21st Century,0,1
The Dharma at Big Sur,For electric violin and orchestra ,,0,1,Orchestral,John Adams,21st Century,0,1
The Gospel According To The Other Mary,Oratorio,,0,0,Vocal,John Adams,21st Century,0,1
The Wound-Dresser,For baritone and orchestra,,0,0,Vocal,John Adams,21st Century,0,1
Violin Concerto,,,0,1,Orchestral,John Adams,21st Century,0,1
"Catch, op. 4","For clarinet, piano, violin and cello",,0,0,Chamber,Thomas Adès,21st Century,0,
"Chamber Symphony, op. 2",,,0,0,Orchestral,Thomas Adès,21st Century,0,
Concerto for Piano and Orchestra,,,0,0,Orchestral,Thomas Adès,21st Century,0,
Darknesse Visible,For piano,,0,0,Keyboard,Thomas Adès,21st Century,0,
Polaris: Voyage for Orchestra,,,0,0,Orchestral,Thomas Adès,21st Century,0,
Powder Her Face,Opera,,1,1,Stage,Thomas Adès,21st Century,0,
Tevot,,,0,0,Orchestral,Thomas Adès,21st Century,0,
The Fayrfax Carol,For chorus and organ,,0,0,Vocal,Thomas Adès,21st Century,0,
The Tempest,Opera,,0,0,Stage,Thomas Adès,21st Century,0,
Three Studies from Couperin,,,1,1,Orchestral,Thomas Adès,21st Century,0,
Totentanz,"For mezzo-soprano, baritone and orchestra",,0,1,Orchestral,Thomas Adès,21st Century,0,
"Violin Concerto, ""Concentric Paths""",,,1,1,Orchestral,Thomas Adès,21st Century,0,
"2 Character Pieces: Spanish National Songs, op. 164",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"6 Danzas españolas, B.23",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"6 Mazurkas de salon, for piano, op. 66, B.12",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"6 Valses Pequeños, op. 25",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"7 Estudios en los tonos naturales mayores, op. 65, B.11",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
Angustia: Romanza sin palabras,,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Arbola-pian, zortzico",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Asturias, for guitar",,,0,0,Chamber,Isaac Albéniz,Late Romantic,0,
Azulejos ,,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Balbina Valverde, polka, for piano",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Barcarole Catalane in D flat major, op. 23, B.2, ""Primera barcarolla""",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Berceuse, for piano, T.114 bis",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Cadix-gaditana, for piano",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Cantos de España, op. 232",,,0,1,Keyboard,Isaac Albéniz,Late Romantic,0,
"Castilla, for two guitars",,,0,0,Chamber,Isaac Albéniz,Late Romantic,0,
"Champagne, vals, for piano",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Chant d'amour, op. 202",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Deseo, estudio de concierto, op. 40",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Diva sin par, mazurka for piano",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"España, B.45",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"España: 6 hojas de album, op. 165, B.37",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Estudio impromptu, for piano, op. 56",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
Excerpts from Suite Española,,,0,0,Orchestral,Isaac Albéniz,Late Romantic,0,
"Iberia Suite, B.47 Books 1-4",,,1,1,Keyboard,Isaac Albéniz,Late Romantic,0,
"Iberia Suite, for orchestra ",,,0,0,Orchestral,Isaac Albéniz,Late Romantic,0,
Improvisation I,,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"L'Automne-Valse, op. 170",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Les saisons, for piano, op. 201",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Mallorca, op. 202",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
Marcha militar,,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Mazurka de salon in D minor, op. 96, B.31/2, ""Ricordatti""",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Mazurka de salon in E flat major, op. 95, B.31/1, ""Amalia""",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Mazurka de salon, T.81",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
Merlin,Opera,,0,0,Stage,Isaac Albéniz,Late Romantic,0,
"Pavana fácil para manos pequeñas, for piano in C minor, op. 83, B.28",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Pavanna capricho, op. 12",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
Pepita Jiménez ,,,0,0,Stage,Isaac Albéniz,Late Romantic,0,
"Piano Concerto in A minor, op. 78, ""Concierto fantastico""",,,0,0,Orchestral,Isaac Albéniz,Late Romantic,0,
"Piano Sonata no. 4 in A major, op. 72, B.20",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Rapsodia española, for piano and orchestra, op. 70 ",,,0,0,Orchestral,Isaac Albéniz,Late Romantic,0,
"Recuerdos de viaje, op. 71",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Recuerdos, mazurka for piano, op. 80",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Reves, for piano, op. 101",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Rhapsodia cubana, op. 66, B.13",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Rumores de la caleta, for guitar",,,0,0,Chamber,Isaac Albéniz,Late Romantic,0,
"Serenata árabe in A minor, B.5",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Serenata arabe, for piano",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Serenata española in D flat major, op. 181, B.39",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Sonata no. 3 in A major, op.68",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Sonata no. 5 in G flat major, op. 82, B.27",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Sous le palmier, tango flamenco in E flat major",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Suite ancienne, op. 54",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Suite antigua no. 2, op. 64, B.10",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Suite antigua no. 3, B.21",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Suite española no. 1, op. 47, B.7",,,0,1,Keyboard,Isaac Albéniz,Late Romantic,0,
"Suite española no. 2, B.32",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
Yvonne en visite,,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"Zambra granadina  in D minor, B.42",,,0,0,Keyboard,Isaac Albéniz,Late Romantic,0,
"12 Concerti a cinque for Solo Violin, 2 Violins, Viola, Cello, and Continuo in A major, op. 10, no. 5 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"12 Concerti a cinque for Solo Violin, 2 Violins, Viola, Cello, and Continuo in B flat major, op. 10, no. 1 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"12 Concerti a cinque for Solo Violin, 2 Violins, Viola, Cello, and Continuo in B flat major, op. 10, no. 12 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"12 Concerti a cinque for Solo Violin, 2 Violins, Viola, Cello, and Continuo in C major, op. 10, no. 3 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"12 Concerti a cinque for Solo Violin, 2 Violins, Viola, Cello, and Continuo in C minor, op. 10, no. 11 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"12 Concerti a cinque for Solo Violin, 2 Violins, Viola, Cello, and Continuo in F major, op. 10, no. 7 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"12 Concerti a cinque for Solo Violin, 2 Violins, Viola, Cello, and Continuo in G minor, op. 10, no. 2 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"12 Concerti a cinque for Solo Violin, 2 Violins, Viola, Cello, and Continuo in G minor, op. 10, no. 8 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Adagio in G minor, for harp",,,0,0,Chamber,Tomaso Albinoni,Baroque,0,
"Adagio, for violin, strings and organ in G minor, T. Mi 26 ",,,1,0,Chamber,Tomaso Albinoni,Baroque,0,
Astarto ,,,0,0,Stage,Tomaso Albinoni,Baroque,0,
"Concerto a 5 in D minor, op. 9, no. 2 for Oboe, Strings, and Continuo",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto à 6 in C for Trumpet, Oboes and Bassoon",,,0,0,Chamber,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for 2 Oboes, 2 Violins, Viola, Cello, and Continuo in A major, op. 7, no. 7 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for 2 Oboes, 2 Violins, Viola, Cello, and Continuo in B flat major, op. 7, no. 10, ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for 2 Oboes, 2 Violins, Viola, Cello, and Continuo in C major, op. 7, no. 2 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for 2 Oboes, 2 Violins, Viola, Cello, and Continuo in C major, op. 7, no. 5 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for 2 Oboes, 2 Violins, Viola, Cello, and Continuo in D major, op. 7, no. 1 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for 2 Oboes, 2 Violins, Viola, Cello, and Continuo in D major, op. 7, no. 8 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for 2 Oboes, 2 Violins, Viola, Cello, and Continuo in D major, op. 9, no. 12 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for 2 Oboes, 2 Violins, Viola, Cello, and Continuo in F major, op. 9, no. 3 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for 2 Oboes, 2 Violins, Viola, Cello, and Continuo in G major, op. 9, no. 6 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for 2 Oboes, Violin, Viola, Cello, and Continuo in C major, op. 9, no. 9 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for 2 Solo Violins, Violin, Viola, Cello, and Continuo in B flat major, op. 9, no. 1, ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for 2 Violins, Viola, Cello, and Continuo in G major, op. 7, no. 4 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for Oboe, 2 Violins, Viola, Cello, and Continuo in B flat major, op. 7, no. 3, ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for Oboe, 2 Violins, Viola, Cello, and Continuo in B flat major, op. 9, no. 11, ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for Oboe, 2 Violins, Viola, Cello, and Continuo in C major, op. 7, no. 12 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for Oboe, 2 Violins, Viola, Cello, and Continuo in C major, op. 9, no. 5 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for Oboe, 2 Violins, Viola, Cello, and Continuo in D major, op. 7, no. 6 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for Oboe, 2 Violins, Viola, Cello, and Continuo in D minor, op. 9, no. 2, ",,,0,1,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for Oboe, 2 Violins, Viola, Cello, and Continuo in F, op. 7, no. 9 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for Oboe, 2 Violins, Viola, Cello, and Continuo in G minor, op. 9, no. 8 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque for Solo Violin, 2 Violins, Viola, Cello, and Continuo in A major, op. 9, no. 4, ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 1 in B flat major, op. 5, no. 1 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 10 in A major, op. 5, no. 10 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 11 in G minor, op. 5, no. 11 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 12 in C major, op. 5, no. 12 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 2 in F major, op. 5, no. 2 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 3 in D major, op. 5, no. 3 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 4 in G major, op. 5, no. 4 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 5 in A minor, op. 5, no. 5 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 6 in C major, op. 5, no. 6 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 7 in D minor, op. 5, no. 7 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 8 in F major, op. 5, no. 8 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto a cinque, for Solo Violin, 2 Violins, 2 Violas, Cello, and Continuo no. 9 in E minor, op. 5, no. 9 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto for 2 Oboes, 2 Violins, Viola, Bassoon, and 2 Continuos in G major, op. 7, no. 4a ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto for 2 Oboes, Strings, and Continuo in C major, op. 7, no. 11 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto for 2 Violins, 2 Violas, Cello, and Continuo in B flat major, op. 2, no. 6 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto for Strings and Continuo in D major, op. 9, no. 7 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto for Strings and Continuo in F major, op. 9, no. 10 ",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto for Trumpet and Organ  in F major, op. 2, no. 2",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto in C for Oboe, Strings, and Continuo, no. 12",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto in E minor for 2 Violins, 2 Violas, Cello and Continuo, op. 2, no. 4",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto in G for 2 Violins, 2 Violas, Cello, and Continuo, op. 2, no. 8",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Concerto in G for 2 Violins, Viola, and Continuo, T.Si8",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Da l'arco d'un bel ciglio, solo cantata for voice and continuo in G minor, op. 4, no. 2, ""Under ye gloomy shade""",,,0,0,Chamber,Tomaso Albinoni,Baroque,0,
Engelberta,Opera,,0,0,Stage,Tomaso Albinoni,Baroque,0,
Flute Concerto in G,,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Il Nome glorioso in terra, serenata ",Opera,,0,0,Stage,Tomaso Albinoni,Baroque,0,
La Statira,Opera,,0,0,Stage,Tomaso Albinoni,Baroque,0,
Magnificat in G minor,,,0,0,Vocal,Tomaso Albinoni,Baroque,0,
Sinfonia a 4 for Strings,,,0,0,Chamber,Tomaso Albinoni,Baroque,0,
Sinfonia for Strings in G minor,,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
Sonata ,,,0,0,Chamber,Tomaso Albinoni,Baroque,0,
Sonata ,,,0,0,Chamber,Tomaso Albinoni,Baroque,0,
"Sonata à cinque for Violin, 2 Violas, and Continuo in B flat major, op. 2, no. 9",,,0,0,Chamber,Tomaso Albinoni,Baroque,0,
"Sonata à cinque for Violin, 2 Violas, and Continuo in C major, op. 2, no. 3",,,0,0,Chamber,Tomaso Albinoni,Baroque,0,
"Sonata à cinque for Violin, 2 Violas, and Continuo in G minor, op. 2, no. 11",,,0,0,Chamber,Tomaso Albinoni,Baroque,0,
"Sonata à sei for Trumpet, 2 Violins, 3 Violas, and Continuo in C major, T.So.1",,,0,0,Chamber,Tomaso Albinoni,Baroque,0,
"Sonata a5 no. 4 in C minor, op. 2, no. 7",,,0,0,Chamber,Tomaso Albinoni,Baroque,0,
Sonata à6 in C for Solo Trumpet and Strings,,,0,0,Chamber,Tomaso Albinoni,Baroque,0,
"Sonata da chiesa in E minor, op. 4, no. 2",,,0,0,Chamber,Tomaso Albinoni,Baroque,0,
Sonata di Concerto à 7 in D for Solo Trumpet and Strings,,,0,0,Chamber,Tomaso Albinoni,Baroque,0,
"Sonata di Concerto à 7, for trumpet, 2 violins, 2 violas, cello, and continuo in D major, T. Si 1",,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Sonata per camera for Violin, Cello, and Continuo in A minor, op. 6, no. 6",,,0,0,Chamber,Tomaso Albinoni,Baroque,0,
"Sonata per camera for Violin, Cello, and Continuo in D major, op. 6, no. 7,",,,0,0,Chamber,Tomaso Albinoni,Baroque,0,
Trumpet Concerto in B flat major,,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
Trumpet Concerto in C,,,0,0,Orchestral,Tomaso Albinoni,Baroque,0,
"Vien con nuova orribil guerra, for soprano, 2 trumpets and ensemble",,,0,0,Chamber,Tomaso Albinoni,Baroque,0,
"Violin Sonata in B flat major, T.So.32, ""Dresden Sonata no. 1""",,,0,0,Chamber,Tomaso Albinoni,Baroque,0,
"Violin Sonata in G minor, T. So 33, ""Dresden Sonata no. 2""",,,0,0,Chamber,Tomaso Albinoni,Baroque,0,
"2 Odes of John Keats, for narrator and piano ",,,0,0,Keyboard,George Antheil,20th Century,0,
"2 Toccatas, W.72",,,0,0,Keyboard,George Antheil,20th Century,0,
"4 Stories for Peter, song-stories for voice and piano",,,0,0,Vocal,George Antheil,20th Century,0,
"6 Little Pieces, for string quartet, W.137",,,0,0,Chamber,George Antheil,20th Century,0,
"7 Mechanisms, suite, W.50",,,0,0,Keyboard,George Antheil,20th Century,0,
A Jazz Symphony,For piano and orchestra,,0,1,Orchestral,George Antheil,20th Century,0,
"Archipelago, 'Rhumba', for orchestra",,,0,0,Orchestral,George Antheil,20th Century,0,
Ballet mécanique,"For 4 pianos, 2 electric bells, 2 airplane propellers and percussion",,0,1,Stage,George Antheil,20th Century,0,
Capital of the World,Ballet,,0,0,Stage,George Antheil,20th Century,0,
"Capital of the World, W.249",,,0,0,Orchestral,George Antheil,20th Century,0,
"Concert, for chamber orchestra, W.170",,,0,0,Chamber,George Antheil,20th Century,0,
"Death of Machines, W.42, ""Third Piano Sonata""",,,0,0,Keyboard,George Antheil,20th Century,0,
Dreams,Ballet,,0,0,Stage,George Antheil,20th Century,0,
"Jazz Sonata, W.43, ""Piano Sonata no. 4""",,,0,0,Keyboard,George Antheil,20th Century,0,
"La Femme 100 Têtes, 45 preludes inspired by etchings of Max Ernst, W.60",,,0,0,Keyboard,George Antheil,20th Century,0,
"Lithuanian Night, for string quartet, W.125",,,0,0,Chamber,George Antheil,20th Century,0,
"Little Shimmy, W.45",,,0,0,Keyboard,George Antheil,20th Century,0,
McKonkey's Ferry ; A Concert Overture,,,0,0,Orchestral,George Antheil,20th Century,0,
"Piano Concerto no. 1, W.205",,,0,0,Orchestral,George Antheil,20th Century,0,
"Piano Concerto no. 2, W.207",,,0,0,Orchestral,George Antheil,20th Century,0,
"Serenade, for string orchestra no. 1, W.189",,,0,0,Chamber,George Antheil,20th Century,0,
Solo Violin Sonata,,,0,0,Chamber,George Antheil,20th Century,0,
"Sonata for Violin, Piano and Drums no. 2, W.131",,,0,0,Chamber,George Antheil,20th Century,0,
"Sonata Sauvage, W.41",,,0,0,Keyboard,George Antheil,20th Century,0,
"Sonatina für Radio, W.58",,,0,0,Keyboard,George Antheil,20th Century,0,
"Sonatina, for violin and piano, W.140",,,0,0,Chamber,George Antheil,20th Century,0,
"String Quartet no. 1, W.133b",,,0,0,Chamber,George Antheil,20th Century,0,
"String Quartet no. 2, W.135, ""For Sylvia Beach with love""",,,0,0,Chamber,George Antheil,20th Century,0,
"String Quartet no. 3, W.142",,,0,0,Chamber,George Antheil,20th Century,0,
"Symphony no. 4, W.177, ""1942""",,,0,0,Orchestral,George Antheil,20th Century,0,
"Symphony no. 5, W.186, ""Joyous""",,,0,0,Orchestral,George Antheil,20th Century,0,
"The Airplane Sonata, W.40, ""Second Sonata""",,,0,0,Keyboard,George Antheil,20th Century,0,
"The Brothers, op. 1",Opera,,0,0,Stage,George Antheil,20th Century,0,
"Trumpet Sonata, W.143",,,0,0,Chamber,George Antheil,20th Century,0,
Violin Sonata no. 1,,,0,0,Chamber,George Antheil,20th Century,0,
Violin Sonata no. 2,,,0,0,Chamber,George Antheil,20th Century,0,
Violin Sonata no. 4,,,0,0,Chamber,George Antheil,20th Century,0,
"3 Shanties, for wind quintet, op. 4",,,0,0,Chamber,Malcolm Arnold,Post-War,0,
"4 Cornish Dances, op. 91",,,0,0,Orchestral,Malcolm Arnold,Post-War,0,
"4 Irish Dances, op. 126",,,0,0,Orchestral,Malcolm Arnold,Post-War,0,
"4 Scottish Dances, op. 59",,,0,0,Orchestral,Malcolm Arnold,Post-War,0,
"4 Welsh Dances, op. 138",,,0,0,Orchestral,Malcolm Arnold,Post-War,0,
"5 Pieces for Violin and Piano, op. 84",,,0,0,Chamber,Malcolm Arnold,Post-War,0,
"A Flourish, op. 112",,,0,0,Orchestral,Malcolm Arnold,Post-War,0,
"A Grand, Grand Overture, op. 57",,,0,1,Orchestral,Malcolm Arnold,Post-War,0,
"A Sussex Overture, op. 31",,,0,0,Orchestral,Malcolm Arnold,Post-War,0,
"Anniversary Overture, op. 99",,,0,0,Orchestral,Malcolm Arnold,Post-War,0,
"Beckus the Dandipratt, comedy overture, op. 5",,,0,0,Orchestral,Malcolm Arnold,Post-War,0,
Bridge on the River Kwai,,,0,0,Stage,Malcolm Arnold,Post-War,0,
"Clarinet Concerto no. 1, op. 20",,,0,0,Orchestral,Malcolm Arnold,Post-War,0,
"Clarinet Concerto no. 2, op. 115",,,0,0,Orchestral,Malcolm Arnold,Post-War,0,
"Clarinet Sonatina, op. 29",,,0,0,Chamber,Malcolm Arnold,Post-War,0,
"Commonwealth Christmas Overture, op. 64",,,0,0,Orchestral,Malcolm Arnold,Post-War,0,
"Concertino for Recorder and Strings, op. 41a",,,0,0,Orchestral,Malcolm Arnold,Post-War,0,
"Concerto for 2 Pianos  and Orchestra, op. 104",,,0,0,Orchestral,Malcolm Arnold,Post-War,0,
"Concerto for Piano Duet and Strings, op. 32",,,0,0,Orchestral,Malcolm Arnold,Post-War,0,
David Copperfield,,,0,0,Stage,Malcolm Arnold,Post-War,0,
"Divertimento for Flute, Oboe and Clarinet, op. 37",,,0,1,Chamber,Malcolm Arnold,Post-War,0,
Dream City,,,0,0,Keyboard,Malcolm Arnold,Post-War,0,
"Duo for 2 Clarinets, op. 135",,,0,0,Chamber,Malcolm Arnold,Post-War,0,
"Electra, op. 79",Ballet,,0,0,Stage,Malcolm Arnold,Post-War,0,
"English Dances, Set 1, op. 27",,,0,1,Orchestral,Malcolm Arnold,Post-War,0,
"English Dances, Set 2, op. 33",,,0,1,Orchestral,Malcolm Arnold,Post-War,0,
"Fanfare for Louis, for 2 trumpets",,,0,0,Chamber,Malcolm Arnold,Post-War,0,
"Fantasy for Bassoon, op. 86",,,0,0,Chamber,Malcolm Arnold,Post-War,0,
"Fantasy for brass band, op. 114",,,0,0,Orchestral,Malcolm Arnold,Post-War,0,
"Fantasy for Cello, op. 130",,,0,0,Chamber,Malcolm Arnold,Post-War,0,
"Fantasy for Clarinet, op. 87",,,0,0,Chamber,Malcolm Arnold,Post-War,0,
Fantasy for Flute and Clarinet,,,0,0,Chamber,Malcolm Arnold,Post-War,0,
"Fantasy for Flute, op. 89",,,0,0,Chamber,Malcolm Arnold,Post-War,0,
"Fantasy for Guitar, op. 107",,,0,0,Chamber,Malcolm Arnold,Post-War,0,
"Fantasy for Harp, op. 117",,,0,0,Chamber,Malcolm Arnold,Post-War,0,
"Fantasy for Recorder and String quartet, op. 140",,,0,0,Chamber,Malcolm Arnold,Post-War,0,
"Fantasy for Trumpet, op. 100",,,0,0,Chamber,Malcolm Arnold,Post-War,0,
"Fantasy on a theme of John Field, for piano and orchestra, op. 116",,,0,0,Orchestral,Malcolm Arnold,Post-War,0,
"Flute Concertino, op. 19a",,,0,0,Orchestral,Malcolm Arnold,Post-War,0,
"Flute Sonata, op. 121",,,0,0,Chamber,Malcolm Arnold,Post-War,0,
